url,titulo,autor,autor_url,sinapsis,imagen_url,generos
https://ww3.lectulandia.com/book/el-medico-de-auschwitz/,El médico de Auschwitz,Szymon Nowak,https://ww3.lectulandia.com/autor/szymon-nowak/,"Enero de 1945. Hay 4.800 prisioneros en Auschwitz-Birkenau. Sus condiciones de degradación física no permiten enviarlos al oeste para retornarlos luego a sus lugares de origen. Las tropas soviéticas irrumpen entonces a tal velocidad en el campo de exterminio que los hombres de las SS solo consiguen volar parte de las cámaras de gas y matar a un puñado de supervivientes para no dejar testigos de lo que allí sucedía.El 5 de febrero Józef Bellert, con un grupo de unos treinta médicos y enfermeros de Cracovia, se encamina a Auschwitz. Durante ocho meses, el doctor Bellert dirige el que muy probablemente fue el hospital de campaña más grande de Europa. A pesar de la falta de alcantarillado y la escasez de agua, alimentos y medicinas, Bellert y sus asistentes dedicaron todos sus esfuerzos a los presos liberados. ¡Son cerca de 5.000 hombres desahuciados para la vida!Los pacientes pesan entre 25 y 30 kilos. Sufren de fiebre tifoidea y tuberculosis, diarrea por hambre, edemas y escaras en su piel. Además de las enfermedades, Bellert debe hacer frente al temor de un montón de hombres y mujeres que se aterrorizan ante quienes visten batas y utilizan jeringas como herramientas de trabajo. Los buenos médicos son asociados a las inyecciones de fenol con las que los alemanes mataban a los prisioneros enfermos. Pero aunque sea difícil de creer, a pesar de aquellas condiciones, 4.400 hombres y mujeres recuperaron su salud y su vida.Józef Bellert fue un héroe silencioso, cuya biografía contiene varias personalidades. Fue conspirador del PPS (pacto alemán-soviético, que permitió a los alemanes invadir Polonia sin la intervención rusa); soldado de las Legiones y médico de la brigada de Piłsudski; activista social e independentista; soldado en septiembre de 1939 e insurgente de Varsovia. Pero “solo” fue reconocido como un modesto médico del distrito de Pińczów.",https://assets.lectulandia.com/b/ab/Szymon%20Nowak/El%20medico%20de%20Auschwitz%20(1)/big.jpg,Biografía - Divulgación - Historia
https://ww3.lectulandia.com/book/un-espia-en-la-trinchera/,Un espía en la trinchera,Enrique Bocanegra Vidal,https://ww3.lectulandia.com/autor/enrique-bocanegra-vidal/,"Una apasionante investigación sobre las actividades en España del espía más famoso de todos los tiempos.El británico Kim Philby (1912-1988) está considerado el agente doble más importante de la historia del siglo XX. Reclutado por los soviéticos con apenas veintidós años, poco después de graduarse en Cambridge, a partir de los años cuarenta ocupará cargos clave en el servicio secreto británico, el legendario MI6. Tras desertar a la Unión Soviética en 1963, su caso salta a la luz pública y provoca un intenso debate sobre cómo fue posible que un alto cargo de la elite británica traicionase durante décadas a su propio país. Su caso inspira a periodistas, pensadores, cineastas y escritores como John Le Carré que se inspiró en Philby para el personaje central deEl topo, su novela más célebre.Sin embargo, el capítulo menos conocido de su carrera es su primera misión, cuando el servicio soviético le ordena instalarse en España en plena guerra civil. Acreditado como corresponsal deThe Timesen el bando sublevado, Philby, agente soviético, llegó a ser condecorado en persona por el propio Francisco Franco en Burgos el 3 de abril de 1938, tras resultar herido durante la batalla de Teruel. A partir de los artículos que Philby escribió paraThe Times, así como de la correspondencia que intercambió con sus editores (material que en gran parte ha permanecido inédito hasta la fecha), este libro analiza su trayectoria durante los dos años y medio que permaneció en España en plena guerra y la incidencia, fundamental, según el mismo Philby reconoció en su autobiografía, que esta experiencia tuvo sobre su carrera como espía.",https://assets.lectulandia.com/b/ab/Enrique%20Bocanegra%20Vidal/Un%20espia%20en%20la%20trinchera%20(1)/big.jpg,Biografía - Crónica - Historia - Política
https://ww3.lectulandia.com/book/una-mujer-sin-importancia-sonia-purnell/,Una mujer sin importancia,Sonia Purnell,https://ww3.lectulandia.com/autor/sonia-purnell/,"En septiembre de 1941, una joven estadounidense que dice ser periodista sube los escalones de un hotel en Lyon. Su pierna de madera queda disimulada por su paso determinado. Meses más tarde, la Gestapo envía una transmisión urgente: «De todos los espías aliados, esa mujer es la más peligrosa. Debemos encontrarla y acabar con ella».El objetivo que tenían en el punto de mira era Virginia Hall, unasocialitéde Baltimore que se abrió paso en el Servicio de Operaciones Especiales, la organización de espías creada por Winston Churchill. Se convirtió en la primera mujer aliada envida tras las líneas enemigas y en una pieza clave para la Resistencia, que revolucionó la guerra secreta tal como se conocía al establecer vastas redes de espías en toda Francia. A pesar de que carteles con su rostro se distribuyeron por todo el país y se puso precio a su cabeza, Virginia rechazó todas las órdenes de evacuar, aunque finalmente se vio obligada a escapar a España cruzando los Pirineos. Lejos de rendirse, volvió de nuevo a Francia y dirigió una victoriosa campaña que consiguió liberar zonas francesas de manos de los nazis tras el Día D.Basado en una intensa investigación, Sonia Purnell ha reconstruido la vida de Virginia Hall, una historia asombrosa e inspiradora de heroísmo, espionaje, resistencia y triunfo personal sobre la adversidad.Una mujer sin importanciaes la impresionante historia de cómo la feroz persistencia de una mujer ayudó a ganar la guerra.",https://assets.lectulandia.com/b/ab/Sonia%20Purnell/Una%20mujer%20sin%20importancia%20(1)/big.jpg,Biografía - Crónica - Historia - Política
https://ww3.lectulandia.com/book/los-dias-de-paris/,Los días de París,Banine,https://ww3.lectulandia.com/autor/banine/,"ElOrient Expressse dirige a toda velocidad hacia la tierra prometida y Banine es libre por primera vez en su vida. Ha huido de su patria en ruinas y de un matrimonio forzado infeliz en busca de un nuevo y deslumbrante futuro en París. Ahora se corta el pelo, lleva faldas cortas, se relaciona con emigrados rusos, artistas españoles, escritores y bohemios de la alta sociedad de los años 20, e incluso contempla el amor. Pero pronto descubre que la libertad trae consigo sus propias complicaciones. Cuando el dinero de su familia se acaba, se convierte en modelo para sobrevivir. Y cuando una figura glamurosa de su pasado regresa, su vida se pone aún más en duda. Banine siempre se ha dejado llevar por las fuerzas de la historia. ¿Podrá seguirles el ritmo ahora?Narrada con ingenio vivaz y ganas de vivir, esta obra que complementa aDías en el Cáucasoes un retrato agridulce de los sueños de juventud y la esquiva búsqueda de la felicidad.",https://assets.lectulandia.com/b/ab/Banine/Los%20dias%20de%20Paris%20(2)/big.jpg,Biografía - Crónica - Historia - Memorias
https://ww3.lectulandia.com/book/rey-del-mundo/,Rey del mundo,David Remnick,https://ww3.lectulandia.com/autor/david-remnick/,"La historia de uno de los más grandes atletas y una de las personalidades más irresistibles de nuestro tiempo, Muhammad Ali.Cuando aquella noche de 1964, Muhammad Ali, conocido por entonces como Cassius Clay, saltó al cuadrilátero para enfrentarse a Sonny Liston, fue contemplado por todo el mundo como un irritante adefesio que se movía y hablaba demasiado. Seis asaltos, después, Ali no sólo se había convertido en el nuevo campeón del mundo de los pesos pesados: era el «nuevo hombre negro» que en poco tiempo transformaría la política racial, la cultura popular y las nociones de heroísmo de Estados Unidos.Explorando la ascensión de Ali desde los gimnasios de Louisville, Kentucky, el autor crea un lienzo de incomparable riqueza y nos ofrece un minucioso retrato de las mafias que controlaban el negocio, de los columnistas que dominaban la información deportiva, de un audaz Norman Mailer y de un enigmático Malcom X.Nadie ha captado a Ali con tanta viveza, pasión y sagacidad como David Remnick, ganador de un premio Pulitzer y director deThe New Yorker. PeroRey del mundoes mucho más: es la crónica de una de las épocas de Estados Unidos -la década prodigiosa- más vitales y vertiginosas; y hace justicia a la rapidez, gracia, valor, humor y entusiasmo de uno de los más grandes atletas y de una de las personalidades más irresistibles de nuestro tiempo.La crítica ha dicho… «Revela detalles que ni los más cercanos a Ali han sabido nunca. Una historia fascinante».The New York Times«Uno de los innumerables méritos de este Premio Pulitzer es huir de los juicios morales sobre la materia de estudio y escapar de la persecución lineal de meros datos biográficos para situarnos ante un púgil que hizo de su raza el motor de su epopeya vital».El Mundo«Es una historia extraordinaria, y Remnick capta lo mejor de ella».Clarín«Ha conseguido más éxito que cualquier otro libro anterior sobre Ali. Un derroche de energía, ego y habilidad como nunca volveremos a ver».The Wall Street Journal«El mejor libro de no-ficción del año».Time«Un poder narrativo casi cardiaco. Una importante crónica sobre un período en la historia social de Estados Unidos».Chicago Tribune«Una placer. Inquietante. Tan rico que cualquiera puede imaginarse a Ali diciendo: ""¿Cómo conseguiste entrar en mi cabeza, colega?""».",https://assets.lectulandia.com/b/ab/David%20Remnick/Rey%20del%20mundo%20(1)/big.jpg,Biografía - Crónica
https://ww3.lectulandia.com/book/el-capitan-richard-f-burton/,El capitán Richard F. Burton,Edward Rice,https://ww3.lectulandia.com/autor/edward-rice/,"Famoso en todo el mundo por su voraz apetito por los viajes, las mujeres, la vida y el conocimiento prohibido, Richard F. Burton escandalizó a la sociedad victoriana. La interpretación que Rice hace de él es tan dramática, compleja y convincente como el propio personaje. Richard F. Burton es una figura victoriana deslumbrante y descomunal, y la espléndida biografía de Rice ofrece un retrato tan dramático, complejo y convincente como el propio personaje. Ninguna biografía sobre él es tan definitiva y amena como esta. El capitán sir Richard Francis Burton (Torquay, Devonshire, 1821-Trieste, 1890), escritor, militar, místico, científico, explorador, diplomático y agente secreto del gobierno británico, es el paradigma del erudito aventurero del siglo XIX, convertido en leyenda viva para sus propios contemporáneos.En este fascinante libro, Rice recrea las hazañas de un personaje brillante, derroche de audacia y magnetismo, que hablaba veintinueve idiomas y tenía una gran habilidad para acceder a lugares donde ningún hombre blanco había estado haciéndose pasar por nativo. Fue el guía de una expedición que recorrió el vasto territorio africano en busca del origen del Nilo, algo que ningún europeo había hecho, y llegó a ciudades prohibidas como La Meca, Medina o la sagrada Harar. Rice destaca también la formidable curiosidad intelectual de Burton y sus impresionantes logros literarios: escribió las crónicas de sus viajes por América, Asia y África, tradujo diecisiete volúmenes deLas mil y una nochesy descubrió para Occidente elKama Sutray elAnanga Ranga. En su obra expresó su rechazo de algunos errores del colonialismo británico o de la mojigatería victoriana, así como de algunas costumbres bárbaras que conoció durante sus viajes. Pero, por encima de todo, Burton intentó dar sentido a su existencia a través de una constante búsqueda espiritual, a veces con la ayuda del opio o de otras drogas, e interesándose por la cábala, la alquimia, el cristianismo y diversas religiones orientales, para acabar convertido al sufismo, disciplina mística que practicó hasta el fin de su vida. «Lleno de acción e intriga [...].",https://assets.lectulandia.com/b/ab/Edward%20Rice/El%20capitan%20Richard%20F%20Burton%20(1)/big.jpg,Biografía - Crónica - Memorias
https://ww3.lectulandia.com/book/biografia-de-agustin-de-hipona/,Biografía de Agustín de Hipona,Peter Brown,https://ww3.lectulandia.com/autor/peter-brown/,"“La representación que Peter Brown hace de San Agustín y su época (354-430) es un logro brillante. Destinada tanto al erudito como al lector en general, seguramente causará impacto en ambos; su aire de frescura y descubrimiento, de ver cosas antiguas bajo una nueva luz, produce algo así como el efecto de ver una gran pintura restaurada… El propio Agustín está aquí en todas sus extrañas y múltiples transformaciones…”. John Raymond enThe Sunday Times.“Esta vida de San Agustín ocupará su lugar como la mejor biografía escrita hasta ahora… El libro del señor Brown es el primer intento exitoso de mostrar la continuidad y el desarrollo auténtico del hombre. Ha alcanzado la verdadera estatura de su tema… El lector sentirá al final que entiende mejor la contribución que la cultura romana hizo al cristianismo; y que tiene una idea menos cruda de cómo era vivir en un Imperio Romano moribundo, justo en el momento en que los invasores bárbaros rompieron las fronteras occidentales para siempre”. Profesor Owen Chadwick enThe Catholic Herald.",https://assets.lectulandia.com/b/ab/Peter%20Brown/Biografia%20de%20Agustin%20de%20Hipona%20(3)/big.jpg,Biografía - Referencia
https://ww3.lectulandia.com/book/mujer-y-poder-en-el-siglo-xix/,Mujer y poder en el siglo XIX,Francie Chassen-López,https://ww3.lectulandia.com/autor/francie-chassen-lopez/,"«Juana Cata nunca se casó, así que fue libre, independiente y empresaria en una época en la que eso no era bien visto en una mujer.»Fuera de Oaxaca y, en particular, de su natal Tehuantepec, el nombre de Juana Catarina Romero es poco conocido. Si acaso detona alguna referencia, es como la supuesta “amante zapoteca” del joven Porfirio Díaz. Además de que este hecho nunca ha sido comprobado, se ha convertido en un mito que opaca una vida extraordinaria: la de una mujer de origen humilde, quien en su juventud fue vendedora ambulante de cigarrillos y espía del ejército liberal en la Guerra de Reforma, y quien, gracias a su tenacidad y habilidad política, llegó a ser una exitosa empresaria azucarera, una comerciante internacional y el árbitro de la sociedad tehuantepecana. Juana Cata tuvo una vida fuera de serie, entretejida con tres periodos cruciales de la historia de México: la Reforma Liberal, el porfirismo y la Revolución. Fue una mujer independiente que logró abrirse camino en un mundo dominado por los hombres, aunque su vida no estuvo exenta de contradicciones. Ella fue una impulsora de la modernidad, pero de una modernidad a la tehuantepecana, la cual unía el progreso, el catolicismo y las tradiciones zapotecas del istmo. El presente estudio es la biografía más completa de Juana Catarina Romero, sustentado en una investigación exhaustiva de muchos años. Al mismo tiempo que recrea la trayectoria de este sorprendente personaje —cómo una mujer humilde y analfabeta llegó a los altos rangos de la sociedad mexicana—, esta biografía proporciona una nueva perspectiva sobre la vida y el papel de las mujeres mexicanas en el siglo XIX.",https://assets.lectulandia.com/b/ab/Francie%20ChassenLopez/Mujer%20y%20poder%20en%20el%20siglo%20XIX%20(1)/big.jpg,Biografía - Ensayo
https://ww3.lectulandia.com/book/ciceron/,Cicerón,Pierre Grimal,https://ww3.lectulandia.com/autor/pierre-grimal/,"Marco Tulio Cicerón fue un hombre incomparable. Teórico de la elocuencia, orador excelso, filósofo único, pero también jurista y hombre de Estado metido en violentas luchas por el poder, su figura marcó de forma indeleble la historia de Roma y, por extensión, también nuestra cultura. De entre la mucha bibliografía que existe sobre Cicerón, destaca con especial intensidad esta obra icónica de Pierre Grimal, en la que el historiador francés despliega toda su sabiduría, su elegancia y su entusiasmo. El resultado es esta biografía, que nos descubre a un Cicerón extraordinariamente vivo y apasionante, protagonista clave de una época en la que Roma elaboró un pensamiento propio, y en la que nació el Imperio sobre las ruinas de la vieja República",https://assets.lectulandia.com/b/ab/Pierre%20Grimal/Ciceron%20(5)/big.jpg,Biografía - Ensayo
https://ww3.lectulandia.com/book/patrick-leigh-fermor/,Patrick Leigh Fermor,Artemis Cooper,https://ww3.lectulandia.com/autor/artemis-cooper/,"Patrick Leigh Fermor fue un hombre con una personalidad única e irrepetible. Aventurero incansable, héroe de guerra, historiador autodidacta y quizá el mejor escritor de libros de viajes del siglo XX, desde joven fue consciente de que quería vivir el presente con intensidad y, desde luego, lo consiguió. Ya que vivió una vida inspiradoramente heterodoxa que combinaba la aventura y reflexión en proporciones únicas.Artemis Cooper, en la exhaustiva y a la vez cálida biografía sobre Patrick Leigh Fermor, ha sabido captar perfectamente el espíritu apasionado y el magnético carácter del autor de obras magistrales como:El tiempo de los regalosyEntre los bosques y el agua. Artemis Cooper se acerca a la compleja y fascinante personalidad de un individuo que combinó como nadie la erudición y la valentía, la seducción y el esnobismo.Siguiendo la estela de Patrick, o Paddy como lo llamaban sus amigos, vivimos de primera mano el ambiente festivo del Londres de entreguerras, somos testigos del valor de los miembros de la resistencia contra los nazis, disfrutamos de la luminosidad de Grecia y recorremos, en fin, una Europa cargada de historia y habitada por gentes de toda condición, desde pastores nómadas hasta ministros griegos, o nobles húngaros y rumanos.",https://assets.lectulandia.com/b/ab/Artemis%20Cooper/Patrick%20Leigh%20Fermor%20(1)/big.jpg,Biografía - Crónica
